Data_Venda;Ativo;Moeda_Venda;Valor_Venda;Data_Aquisicao;Custo_Aquisicao_USD;Origem_Externa;Resultado;Isento_365d
2021-01-20;ADA;EUR;59,56;2019-07-09;0,0;Rendimento/Binance;59,56;561 dias (ISENTO)
2021-02-14;ADA;EUR;35,28;2019-07-09;0,0;Rendimento/Binance;35,28;586 dias (ISENTO)
2021-02-14;ADA;EUR;35,28;2019-07-09;0,0;Rendimento/Binance;35,28;586 dias (ISENTO)
2021-02-20;ADA;EUR;228,01;2019-05-28;0,0;Rendimento/Binance;228,01;634 dias (ISENTO)
2021-02-20;ADA;EUR;242,43;2019-05-28;0,0;Rendimento/Binance;242,43;634 dias (ISENTO)
2021-02-20;ADA;EUR;242,43;2019-05-28;0,0;Rendimento/Binance;242,43;634 dias (ISENTO)
2021-02-20;ADA;EUR;87,97;2019-05-28;0,0;Rendimento/Binance;87,97;634 dias (ISENTO)
2021-02-20;ADA;EUR;87,97;2019-05-28;0,0;Rendimento/Binance;87,97;634 dias (ISENTO)
2021-02-20;ADA;EUR;24,2;2019-05-28;0,0;Rendimento/Binance;24,2;634 dias (ISENTO)
2021-02-20;ADA;EUR;67,01;2019-05-28;0,0;Rendimento/Binance;67,01;634 dias (ISENTO)
2021-02-20;ADA;EUR;99,77;2019-05-28;0,0;Rendimento/Binance;99,77;634 dias (ISENTO)
2021-02-20;ADA;EUR;214,65;2019-05-28;0,0;Rendimento/Binance;214,65;634 dias (ISENTO)
2021-02-20;ADA;EUR;214,65;2019-05-28;0,0;Rendimento/Binance;214,65;634 dias (ISENTO)
2021-02-20;ADA;EUR;2730,41;2019-05-28;0,0;Rendimento/Binance;2730,41;634 dias (ISENTO)
2021-02-20;ADA;EUR;2730,41;2019-05-28;0,0;Rendimento/Binance;2730,41;634 dias (ISENTO)
2021-02-20;ADA;EUR;96,01;2019-05-28;0,0;Rendimento/Binance;96,01;634 dias (ISENTO)
2021-02-20;ADA;EUR;96,01;2019-05-28;0,0;Rendimento/Binance;96,01;634 dias (ISENTO)
2021-02-20;ADA;EUR;96,01;2019-05-28;0,0;Rendimento/Binance;96,01;634 dias (ISENTO)
2021-02-20;ADA;EUR;62,64;2019-05-28;0,0;Rendimento/Binance;62,64;634 dias (ISENTO)
2021-02-20;ADA;EUR;62,64;2019-05-28;0,0;Rendimento/Binance;62,64;634 dias (ISENTO)
2021-02-20;ADA;EUR;106,49;2019-05-28;0,0;Rendimento/Binance;106,49;634 dias (ISENTO)
2021-02-20;ADA;EUR;106,49;2019-05-28;0,0;Rendimento/Binance;106,49;634 dias (ISENTO)
