Data_Venda;Ativo;Moeda_Venda;Valor_Venda;Data_Aquisicao;Custo_Aquisicao_USD;Origem_Externa;Resultado;Isento_365d
2022-04-10;cReal;Real Brasileiro;360.6;2022-03-02;0.0;Sim;360.6;TBD
2022-04-10;cReal;Real Brasileiro;25.96;2022-03-02;0.0;Sim;25.96;TBD
2022-04-10;cReal;Real Brasileiro;334.64;2022-04-01;0.0;Sim;334.64;TBD
2022-05-23;cReal;Real Brasileiro;70.44;2022-05-02;0.0;Sim;70.44;TBD
2022-06-29;cReal;Real Brasileiro;38.77;2022-06-03;0.0;Sim;38.77;TBD
2023-02-01;cReal;Real Brasileiro;72.94;2022-07-05;0.0;Sim;72.94;TBD
2023-02-01;cReal;Real Brasileiro;72.94;2022-07-05;0.0;Sim;72.94;TBD
2023-03-10;cReal;Real Brasileiro;0.0;2022-07-05;0.0;Sim;0.0;TBD
2023-03-10;cReal;Real Brasileiro;27.21;2023-02-07;0.0;Sim;27.21;TBD
2023-04-14;cReal;Real Brasileiro;0.0;2023-02-07;0.0;Sim;0.0;TBD
2023-04-14;cReal;Real Brasileiro;49.95;2023-04-13;0.0;Sim;49.95;TBD
2023-07-11;cReal;Real Brasileiro;0.0;2023-04-13;0.0;Sim;0.0;TBD
2023-07-11;cReal;Real Brasileiro;72.48;2023-07-05;0.0;Sim;72.48;TBD
2023-07-11;cReal;Real Brasileiro;185.97;2023-07-10;0.0;Sim;185.97;TBD
2023-11-07;cReal;Real Brasileiro;48.82;2023-08-10;0.0;Sim;48.82;TBD
2023-11-07;cReal;Real Brasileiro;48.82;2023-08-10;0.0;Sim;48.82;TBD
2023-11-07;cReal;Real Brasileiro;48.82;2023-08-10;0.0;Sim;48.82;TBD
