Data;Hora;Moeda;Qtd;Tipo;Status
2018-12-03;20:47:12;BTC;0,46564768;ENTRADA;Origem Externa
2018-12-04;04:11:40;XEM;12202,79;SAÍDA;Para Carteira Externa
2018-12-11;13:31:56;BTC;0,24685529;SAÍDA;Para Carteira Externa
2018-12-26;15:39:52;BTC;0,45253251;ENTRADA;Origem Externa
2018-12-27;20:27:12;XEM;3225,78;SAÍDA;Para Carteira Externa
2018-12-27;20:52:30;POLY;2352,645;SAÍDA;Para Carteira Externa
2018-12-27;21:36:46;DASH;2,059;SAÍDA;Para Carteira Externa
2018-12-27;22:04:36;BNB;67,97682188;SAÍDA;Para Carteira Externa
2018-12-27;22:30:56;ETH;4,450545;SAÍDA;Para Carteira Externa
2018-12-29;02:25:04;BTC;0,10004989;ENTRADA;Origem Externa
2018-12-30;02:01:56;IOTA;10,0;SAÍDA;Para Carteira Externa
2018-12-30;02:51:52;IOTA;22,967;SAÍDA;Para Carteira Externa
2019-01-02;17:59:08;BTC;0,08931008;ENTRADA;Origem Externa
2019-01-02;22:18:14;BTC;0,13100769;ENTRADA;Origem Externa
2019-01-03;05:39:40;BTC;0,10135079;ENTRADA;Origem Externa
2019-01-03;13:08:36;ADA;8041,95;SAÍDA;Para Carteira Externa
2019-01-03;16:54:20;IOTA;1047,951;SAÍDA;Para Carteira Externa
2019-01-04;03:40:58;NEO;10,0;SAÍDA;Para Carteira Externa
2019-01-15;14:04:48;XRP;779,22;SAÍDA;Para Carteira Externa
2019-01-18;22:35:00;BTC;0,05370705;ENTRADA;Origem Externa
2019-01-19;19:39:30;BTC;0,05292755;ENTRADA;Origem Externa
2019-01-19;20:21:28;XRP;297,702;SAÍDA;Para Carteira Externa
2019-01-20;04:41:40;ADA;2134,862999;SAÍDA;Para Carteira Externa
2019-01-20;20:51:04;XLM;1825,173;SAÍDA;Para Carteira Externa
2019-01-21;23:45:34;EOS;2,0;SAÍDA;Para Carteira Externa
2019-01-22;00:14:26;EOS;0,2;SAÍDA;Para Carteira Externa
2019-01-22;00:40:40;EOS;201,3117;SAÍDA;Para Carteira Externa
2019-01-27;12:01:28;TRX;5870,5;ENTRADA;Origem Externa
2019-01-28;01:06:44;DASH;2,05699808;ENTRADA;Origem Externa
2019-01-28;01:07:10;ZEC;2,09698272;ENTRADA;Origem Externa
2019-01-30;13:31:42;IOTA;952,0;SAÍDA;Para Carteira Externa
2019-01-31;15:03:36;XEM;3222,37;ENTRADA;Origem Externa
2019-01-31;17:09:04;ETH;1,28118718;SAÍDA;Para Carteira Externa
2019-02-19;15:45:36;BTC;0,30208312;ENTRADA;Origem Externa
2019-02-22;01:34:04;BNB;57,70435358;SAÍDA;Para Carteira Externa
2019-02-26;21:49:12;IOTA;2564,0;SAÍDA;Para Carteira Externa
2019-03-08;18:40:00;ETH;6,1997858;ENTRADA;Origem Externa
2019-03-08;19:11:08;ENJ;2459,538;SAÍDA;Para Carteira Externa
2019-03-08;19:16:00;BAT;2185,812;SAÍDA;Para Carteira Externa
2019-03-09;01:08:28;ETH;0,18;ENTRADA;Origem Externa
2019-03-09;01:38:08;BTC;0,036;ENTRADA;Origem Externa
2019-03-09;02:01:08;BAT;838,161;SAÍDA;Para Carteira Externa
2019-03-13;22:23:26;BNB;75,0;ENTRADA;Origem Externa
2019-03-15;20:46:20;XLM;10356,633;SAÍDA;Para Carteira Externa
2019-03-18;02:51:12;IOTA;4594,418;ENTRADA;Origem Externa
2019-03-18;03:45:12;XLM;4218,2775;SAÍDA;Para Carteira Externa
